index,Country,State
842,Mali,Koulikoro
843,Mali,Koulikoro
844,Mali,Koulikoro
845,Mali,Koulikoro
846,Mali,Koulikoro
847,Mali,Koulikoro
848,Mali,Koulikoro
849,Mali,Koulikoro
850,Mali,Koulikoro
851,Mali,Koulikoro
852,Mali,Koulikoro
853,Mali,Koulikoro
854,Mali,Koulikoro
855,Mali,Sikasso Region
856,Mali,Sikasso Region
857,Mali,Koulikoro
858,Mali,Koulikoro
859,Mali,Sikasso Region
860,Mali,Sikasso Region
861,Mali,Sikasso Region
862,Mali,Sikasso Region
863,Mali,Sikasso Region
864,Mali,Sikasso Region
865,Mali,Sikasso Region
866,Mali,Sikasso Region
867,Mali,Sikasso Region
868,Mali,Sikasso Region
869,Mali,Sikasso Region
870,Mali,Sikasso Region
871,Mali,Sikasso Region
872,Mali,Sikasso Region
873,Mali,Sikasso Region
874,Mali,Sikasso Region
875,Mali,Sikasso Region
876,Mali,Sikasso Region
877,Mali,Sikasso Region
878,Mali,Sikasso Region
879,Mali,Sikasso Region
880,Mali,Sikasso Region
881,Mali,Sikasso Region
882,Mali,Sikasso Region
883,Mali,Sikasso Region
884,Mali,Sikasso Region
885,Mali,Sikasso Region
886,Mali,Sikasso Region
887,Mali,Sikasso Region
888,Mali,Sikasso Region
889,Mali,Sikasso Region
890,Mali,Sikasso Region
891,Mali,Koulikoro
892,Mali,Koulikoro
893,Mali,Koulikoro
894,Mali,Koulikoro
895,Mali,Koulikoro
896,Mali,Koulikoro
897,Mali,Koulikoro
898,Mali,Koulikoro
899,Mali,Koulikoro
900,Mali,Koulikoro
901,Mali,Koulikoro
902,Mali,Koulikoro
903,Mali,Koulikoro
904,Mali,Koulikoro
905,Mali,Koulikoro
906,Mali,Koulikoro
907,Mali,Koulikoro
908,Mali,Koulikoro
909,Mali,Koulikoro
910,Mali,Koulikoro
911,Mali,Koulikoro
912,Mali,Koulikoro
913,Mali,Koulikoro
914,Mali,Koulikoro
915,Mali,Koulikoro
916,Mali,Koulikoro
917,Mali,Koulikoro
918,Mali,Koulikoro
919,Mali,Koulikoro
920,Mali,Koulikoro
921,Mali,Koulikoro
922,Mali,Koulikoro
923,Mozambique,Niassa Province
924,Mozambique,Niassa Province
925,Mozambique,Niassa Province
926,Mozambique,Niassa Province
927,Mozambique,Niassa Province
928,Mozambique,Niassa Province
929,Mozambique,Niassa Province
930,Mozambique,Niassa Province
931,Mozambique,Niassa Province
932,Mozambique,Niassa Province
933,Mozambique,Niassa Province
934,Mozambique,Niassa Province
935,Mozambique,Niassa Province
936,Mozambique,Niassa Province
937,Mozambique,Niassa Province
938,Mozambique,Niassa Province
939,Mozambique,Niassa Province
940,Mozambique,Niassa Province
941,Mozambique,Niassa Province
942,Mozambique,Niassa Province
943,Mozambique,Niassa Province
944,Mozambique,Niassa Province
945,Mozambique,Niassa Province
946,Mozambique,Niassa Province
947,Mozambique,Niassa Province
948,Mozambique,Niassa Province
949,Mozambique,Niassa Province
950,Mozambique,Niassa Province
951,Mozambique,Niassa Province
952,Mozambique,Niassa Province
953,Mozambique,Niassa Province
954,Mozambique,Nampula Province
955,Mozambique,Nampula Province
956,Mozambique,Nampula Province
957,Mozambique,Nampula Province
958,Mozambique,Nampula Province
959,Mozambique,Nampula Province
960,Mozambique,Nampula Province
961,Mozambique,Nampula Province
962,Mozambique,Nampula Province
963,Mozambique,Nampula Province
964,Mozambique,Nampula Province
965,Mozambique,Nampula Province
966,Mozambique,Nampula Province
967,Mozambique,Nampula Province
968,Mozambique,Nampula Province
969,Mozambique,Nampula Province
970,Mozambique,Nampula Province
971,Mozambique,Nampula Province
972,Mozambique,Nampula Province
973,Mozambique,Nampula Province
974,Mozambique,Nampula Province
975,Mozambique,Nampula Province
976,Mozambique,Nampula Province
977,Mozambique,Nampula Province
978,Mozambique,Nampula Province
979,Mozambique,Nampula Province
980,Mozambique,Nampula Province
981,Mozambique,Nampula Province
982,Mozambique,Nampula Province
983,Mozambique,Nampula Province
984,Mozambique,Nampula Province
985,Mozambique,Nampula Province
986,Mozambique,Inhambane Province
987,Mozambique,Inhambane Province
988,Mozambique,Inhambane Province
989,Mozambique,Inhambane Province
990,Mozambique,Inhambane Province
991,Mozambique,Inhambane Province
992,Mozambique,Inhambane Province
993,Mozambique,Inhambane Province
994,Mozambique,Inhambane Province
995,Mozambique,Inhambane Province
996,Mozambique,Inhambane Province
997,Mozambique,Inhambane Province
998,Mozambique,Inhambane Province
999,Mozambique,Inhambane Province
1000,Mozambique,Inhambane Province
1001,Mozambique,Inhambane Province
1002,Mozambique,Inhambane Province
1003,Mozambique,Inhambane Province
1004,Mozambique,Inhambane Province
1005,Mozambique,Inhambane Province
1006,Mozambique,Inhambane Province
1007,Mozambique,Inhambane Province
1008,Mozambique,Inhambane Province
1009,Mozambique,Inhambane Province
1010,Mozambique,Inhambane Province
1011,Mozambique,Inhambane Province
1012,Mozambique,Inhambane Province
1013,Mozambique,Inhambane Province
1014,Mozambique,Inhambane Province
1015,Mozambique,Inhambane Province
1016,Mozambique,Inhambane Province
1017,Mozambique,Inhambane Province
1018,Mozambique,Zambezia Province
1019,Mozambique,Zambezia Province
1020,Mozambique,Zambezia Province
1021,Mozambique,Zambezia Province
1022,Mozambique,Zambezia Province
1023,Mozambique,Zambezia Province
1024,Mozambique,Zambezia Province
1025,Mozambique,Zambezia Province
1026,Mozambique,Zambezia Province
1027,Mozambique,Zambezia Province
1028,Mozambique,Zambezia Province
1029,Mozambique,Zambezia Province
1030,Mozambique,Zambezia Province
1031,Mozambique,Zambezia Province
1032,Mozambique,Zambezia Province
1033,Mozambique,Zambezia Province
1034,Mozambique,Zambezia Province
1035,Mozambique,Zambezia Province
1036,Mozambique,Zambezia Province
1037,Mozambique,Zambezia Province
1038,Mozambique,Zambezia Province
1039,Mozambique,Zambezia Province
1040,Mozambique,Zambezia Province
1041,Mozambique,Zambezia Province
1042,Mozambique,Zambezia Province
1043,Mozambique,Zambezia Province
1044,Mozambique,Zambezia Province
1045,Mozambique,Zambezia Province
1046,Mozambique,Zambezia Province
1047,Mozambique,Zambezia Province
1048,Mozambique,Zambezia Province
1049,Mozambique,Zambezia Province
1050,Mozambique,Inhambane Province
1051,Mozambique,Inhambane Province
1052,Mozambique,Inhambane Province
1053,Mozambique,Inhambane Province
1054,Mozambique,Inhambane Province
1055,Mozambique,Inhambane Province
1056,Mozambique,Inhambane Province
1057,Mozambique,Inhambane Province
1058,Mozambique,Inhambane Province
1059,Mozambique,Inhambane Province
1060,Mozambique,Inhambane Province
1061,Mozambique,Inhambane Province
1062,Mozambique,Inhambane Province
1063,Mozambique,Inhambane Province
1064,Mozambique,Inhambane Province
1065,Mozambique,Inhambane Province
1066,Mozambique,Inhambane Province
1067,Mozambique,Inhambane Province
1068,Mozambique,Inhambane Province
1069,Mozambique,Inhambane Province
1070,Mozambique,Inhambane Province
1071,Mozambique,Inhambane Province
1072,Mozambique,Inhambane Province
1073,Mozambique,Inhambane Province
1074,Mozambique,Inhambane Province
1075,Mozambique,Inhambane Province
1076,Mozambique,Inhambane Province
1077,Mozambique,Inhambane Province
1078,Mozambique,Inhambane Province
